SampleID	Year_Plot	SampleName	SampleNo	SampleType	LibraryType	Year	TubeName	Seedlot	OriginalNo	RepNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
S13.51.O.1.16S_000000000.J59B3	2019_B_51	13-51-O-1-16S	13	eye	16S	2018-2019	51-O-1	51	51	1	Colomba	B	B_51	MENALDUM	Wintertarwe	Wheat	Clay	B_51	1510.819165	-1.214068386	0.955644351	Low	Low	1448.567984	-1.004182275	0.940236056	1156.666426	-0.677790582	0.491654372
S23.51.O.2.16S_000000000.J59B3	2019_B_51	23-51-O-2-16S	23	eye	16S	2018-2019	51-O-2	51	51	2	Colomba	B	B_51	MENALDUM	Wintertarwe	Wheat	Clay	B_51	1510.819165	-1.214068386	0.955644351	Low	Low	1448.567984	-1.004182275	0.940236056	1156.666426	-0.677790582	0.491654372
S100.52.O.2.16S_000000000.J58CV	2019_B_52	100-52-O-2-16S	100	eye	16S	2018-2019	52-O-2	52	52	2	Colomba	B	B_52	HIJUM	Grasland	Grass	Clay	B_52	1758.593919	1.179868406	1.856332883	High	High	1642.121301	0.603984374	1.667102272	1167.339941	-0.57873389	0.589794422
S12.52.O.3.16S_000000000.J59B3	2019_B_52	12-52-O-3-16S	12	eye	16S	2018-2019	52-O-3	52	52	3	Colomba	B	B_52	HIJUM	Grasland	Grass	Clay	B_52	1758.593919	1.179868406	1.856332883	High	High	1642.121301	0.603984374	1.667102272	1167.339941	-0.57873389	0.589794422
S142.52.O.4.16S_000000000.J58CV	2019_B_52	142-52-O-4-16S	142	eye	16S	2018-2019	52-O-4	52	52	4	Colomba	B	B_52	HIJUM	Grasland	Grass	Clay	B_52	1758.593919	1.179868406	1.856332883	High	High	1642.121301	0.603984374	1.667102272	1167.339941	-0.57873389	0.589794422
S98.52.O.1.16S_000000000.J58CV	2019_B_52	98-52-O-1-16S	98	eye	16S	2018-2019	52-O-1	52	52	1	Colomba	B	B_52	HIJUM	Grasland	Grass	Clay	B_52	1758.593919	1.179868406	1.856332883	High	High	1642.121301	0.603984374	1.667102272	1167.339941	-0.57873389	0.589794422
S117.56.O.4.16S_000000000.J58CV	2019_B_56	117-56-O-4-16S	117	eye	16S	2018-2019	56-O-4	56	56	4	Colomba	B	B_56	Marrum	Grasland	Grass	Clay	B_56	1792.234477	1.504894937	1.978620016	High	High	1773.084327	1.69211024	2.158918173	1385.494501	1.445872603	2.595665791
S29.56.O.3.16S_000000000.J59B3	2019_B_56	29-56-O-3-16S	29	eye	16S	2018-2019	56-O-3	56	56	3	Colomba	B	B_56	Marrum	Grasland	Grass	Clay	B_56	1792.234477	1.504894937	1.978620016	High	High	1773.084327	1.69211024	2.158918173	1385.494501	1.445872603	2.595665791
S72.56.O.2.16S_000000000.J53BN	2019_B_56	72-56-O-2-16S	72	eye	16S	2018-2019	56-O-2	56	56	2	Colomba	B	B_56	Marrum	Grasland	Grass	Clay	B_56	1792.234477	1.504894937	1.978620016	High	High	1773.084327	1.69211024	2.158918173	1385.494501	1.445872603	2.595665791
S97.56.O.1.16S_000000000.J58CV	2019_B_56	97-56-O-1-16S	97	eye	16S	2018-2019	56-O-1	56	56	1	Colomba	B	B_56	Marrum	Grasland	Grass	Clay	B_56	1792.234477	1.504894937	1.978620016	High	High	1773.084327	1.69211024	2.158918173	1385.494501	1.445872603	2.595665791
