SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,Variety,Plot,SoilType,M_52,M_52_method2
S37.60.O.3.16S_000000000.J59B3,37-60-O-3-16S,37,eye,16S,2018-2019,60-O-3,60,60,3,B,B_60,Sand,1855.04996,2.111802188
S43.60.O.4.16S_000000000.J59B3,43-60-O-4-16S,43,eye,16S,2018-2019,60-O-4,60,60,4,B,B_60,Sand,1855.04996,2.111802188
S61.60.O.2.16S_000000000.J53BN,61-60-O-2-16S,61,eye,16S,2018-2019,60-O-2,60,60,2,B,B_60,Sand,1855.04996,2.111802188
S137.60.O.1.16S_000000000.J58CV,137-60-O-1-16S,137,eye,16S,2018-2019,60-O-1,60,60,1,B,B_60,Sand,1855.04996,2.111802188
S18.134.O.3.16S_000000000.J59B3,18-134-O-3-16S,18,eye,16S,2018-2019,134-O-3,134,214,3,C,C_134,Sand,1174.218448,0.645926745
S68.134.O.2.16S_000000000.J53BN,68-134-O-2-16S,68,eye,16S,2018-2019,134-O-2,134,214,2,C,C_134,Sand,1174.218448,0.645926745
S73.134.O.1.16S_000000000.J53BN,73-134-O-1-16S,73,eye,16S,2018-2019,134-O-1,134,214,1,C,C_134,Sand,1174.218448,0.645926745
S170.134.O.4.16S_000000000.J52V7,170-134-O-4-16S,170,eye,16S,2018-2019,134-O-4,134,214,4,C,C_134,Sand,1174.218448,0.645926745
S86.136.O.4.16S_000000000.J53BN,86-136-O-4-16S,86,eye,16S,2018-2019,136-O-4,136,216,4,C,C_136,Clay,1079.308692,0.18846114
S133.136.O.3.16S_000000000.J58CV,133-136-O-3-16S,133,eye,16S,2018-2019,136-O-3,136,216,3,C,C_136,Clay,1079.308692,0.18846114
S153.136.O.2.16S_000000000.J52V7,153-136-O-2-16S,153,eye,16S,2018-2019,136-O-2,136,216,2,C,C_136,Clay,1079.308692,0.18846114
30.136.1.O.16S_000000000.J99GR,30_136_1_O_16S,W30,eye,16S,2018-2019,136-O-1,136,216,1,C,C_136,Clay,1079.308692,0.18846114
S51.140.O.2.16S_000000000.J53BN,51-140-O-2-16S,51,eye,16S,2018-2019,140-O-2,140,220,2,C,C_140,Sand,783.6273734,-1.236724614
S75.140.O.4.16S_000000000.J53BN,75-140-O-4-16S,75,eye,16S,2018-2019,140-O-4,140,220,4,C,C_140,Sand,783.6273734,-1.236724614
S189.140.O.1.16S_000000000.J52V7,189-140-O-1-16S,189,eye,16S,2018-2019,140-O-1,140,220,1,C,C_140,Sand,783.6273734,-1.236724614
25.140.3.O.16S_000000000.J99GR,25_140_3_O_16S,W25,eye,16S,2018-2019,140-O-3,140,220,3,C,C_140,Sand,783.6273734,-1.236724614
S54.143.O.4.16S_000000000.J53BN,54-143-O-4-16S,54,eye,16S,2018-2019,143-O-4,143,223,4,C,C_143,Sand,1342.359152,1.456365962
S82.143.O.1.16S_000000000.J53BN,82-143-O-1-16S,82,eye,16S,2018-2019,143-O-1,143,223,1,C,C_143,Sand,1342.359152,1.456365962
S92.143.O.2.16S_000000000.J53BN,92-143-O-2-16S,92,eye,16S,2018-2019,143-O-2,143,223,2,C,C_143,Sand,1342.359152,1.456365962
S162.143.O.3.16S_000000000.J52V7,162-143-O-3-16S,162,eye,16S,2018-2019,143-O-3,143,223,3,C,C_143,Sand,1342.359152,1.456365962
S1.167.O.1.16S_000000000.J59B3,1-167-O-1-16S,1,eye,16S,2018-2019,167-O-1,167,247,1,C,C_167,Sand,1325.324136,1.37425708
S96.167.O.2.16S_000000000.J53BN,96-167-O-2-16S,96,eye,16S,2018-2019,167-O-2,167,247,2,C,C_167,Sand,1325.324136,1.37425708
S120.167.O.4.16S_000000000.J58CV,120-167-O-4-16S,120,eye,16S,2018-2019,167-O-4,167,247,4,C,C_167,Sand,1325.324136,1.37425708
S134.167.O.3.16S_000000000.J58CV,134-167-O-3-16S,134,eye,16S,2018-2019,167-O-3,167,247,3,C,C_167,Sand,1325.324136,1.37425708
