"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"X49.151.3.O.16S_000000000.JCCFG" -1.447199925 0.2718379786994 "L" "H" "F"
"X51.151.4.O.16S_000000000.JCCFG" -1.447199925 0.402397438926983 "L" "H" "F"
"X54.151.2.O.16S_000000000.JCCFG" -1.447199925 0.609991468779116 "L" "H" "E"
"S109.152.O.4.16S_000000000.J58CV" -1.200759205 0.665278370350133 "L" "H" "F"
"S168.152.O.2.16S_000000000.J52V7" -1.200759205 0.568927273615049 "L" "H" "F"
"S62.152.O.1.16S_000000000.J53BN" -1.200759205 0.556127878437 "L" "H" "A"
"S17.157.O.4.16S_000000000.J59B3" 1.333782552 0.450564782698901 "H" "H" "B"
"S39.157.O.3.16S_000000000.J59B3" 1.333782552 0.27184229947385 "H" "H" "F"
"S55.157.O.2.16S_000000000.J53BN" 1.333782552 0.445930329806567 "H" "H" "A"
"R20.158.O.4.16S_000000000.JCCFG" 1.401157442 -0.2899725822674 "H" "L" "F"
"S111.158.O.1.16S_000000000.J58CV" 1.401157442 0.333463936040367 "H" "H" "E"
