"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"S6.98.O.4.16S_000000000.J59B3" 0.105311775 -0.242897409872933 "M" "L" "B"
"X38.122.4.O.16S_000000000.J99GR" -3.553329225 0.108595172058683 "L" "M" "B"
"X56.122.2.O.16S_000000000.JCCFG" -3.553329225 -0.193096379893733 "L" "L" "E"
"S143.125.O.4.16S_000000000.J58CV" 0.527315516 -0.08811642989925 "M" "M" "B"
"S149.125.O.1.16S_000000000.J52V7" 0.527315516 0.05500819390065 "M" "M" "F"
"S21.125.O.3.16S_000000000.J59B3" 0.527315516 0.134727684477233 "M" "H" "C"
"S74.125.O.2.16S_000000000.J53BN" 0.527315516 0.00887181171338336 "M" "M" "D"
"R17.137.O.2.16S_000000000.JCCFG" -0.423534729 -0.314227194792 "L" "L" "C"
"S53.137.O.4.16S_000000000.J53BN" -0.423534729 -0.11551771700285 "L" "L" "C"
"S27.139.O.4.16S_000000000.J59B3" 0.489645777 0.17254638764245 "M" "H" "C"
"S41.139.O.2.16S_000000000.J59B3" 0.489645777 0.270068567310083 "M" "H" "C"
"X18.181.2.O.16S_000000000.J99GR" 1.073286469 -0.156992239192233 "H" "L" "A"
"X42.181.4.O.16S_000000000.J99GR" 1.073286469 0.437653529099616 "H" "H" "B"
"X59.181.3.O.16S_000000000.JCCFG" 1.073286469 -0.10057931158155 "H" "M" "F"
"X63.181.1.O.16S_000000000.JCCFG" 1.073286469 0.68250266789245 "H" "H" "D"
"R18.149.O.3.16S_000000000.JCCFG" -0.825396366 0.0204341116185667 "L" "M" "C"
"S140.149.O.2.16S_000000000.J58CV" -0.825396366 0.585269233559816 "L" "H" "F"
"S19.149.O.4.16S_000000000.J59B3" -0.825396366 0.433702082115766 "L" "H" "E"
"X49.151.3.O.16S_000000000.JCCFG" -0.282444547 0.2718379786994 "M" "H" "F"
"X51.151.4.O.16S_000000000.JCCFG" -0.282444547 0.402397438926983 "M" "H" "F"
"X54.151.2.O.16S_000000000.JCCFG" -0.282444547 0.609991468779116 "M" "H" "E"
"S109.152.O.4.16S_000000000.J58CV" 0.158932053 0.665278370350133 "M" "H" "F"
"S168.152.O.2.16S_000000000.J52V7" 0.158932053 0.568927273615049 "M" "H" "F"
"S62.152.O.1.16S_000000000.J53BN" 0.158932053 0.556127878437 "M" "H" "A"
"S17.157.O.4.16S_000000000.J59B3" -0.765589067 0.450564782698901 "L" "H" "B"
"S39.157.O.3.16S_000000000.J59B3" -0.765589067 0.27184229947385 "L" "H" "F"
"S55.157.O.2.16S_000000000.J53BN" -0.765589067 0.445930329806567 "L" "H" "A"
"R20.158.O.4.16S_000000000.JCCFG" -1.505963411 -0.2899725822674 "L" "L" "F"
"S111.158.O.1.16S_000000000.J58CV" -1.505963411 0.333463936040367 "L" "H" "E"
